dataset_name,method,fl_algo,head_train_mode,adapter_bottleneck,trainable_scope,evaluation_protocol,backbone_pretrained,backbone_frozen,task_id_known_at_inference,num_clients,alpha,replay,replay_per_class,mu,n_seeds,final_accuracy_mean,final_accuracy_std,final_forgetting_mean,final_forgetting_std,final_bwt_mean,final_bwt_std,final_fwt_mean,final_fwt_std,final_accuracy_drop_from_peak_mean,final_accuracy_drop_from_peak_std,plasticity_score_mean,plasticity_score_std,stability_score_mean,stability_score_std,stability_peak_score_mean,stability_peak_score_std,plasticity_stability_hmean_mean,plasticity_stability_hmean_std,plasticity_stability_peak_hmean_mean,plasticity_stability_peak_hmean_std,client_seen_accuracy_mean_mean,client_seen_accuracy_mean_std,client_seen_accuracy_std_mean,client_seen_accuracy_std_std,client_seen_accuracy_min_mean,client_seen_accuracy_min_std,client_seen_accuracy_max_mean,client_seen_accuracy_max_std,accuracy_per_comm_mb_mean,accuracy_per_comm_mb_std,comm_mb_mean,comm_mb_std,replay_memory_mb_mean,replay_memory_mb_std,wall_time_min_mean,wall_time_min_std,avg_power_w_mean,avg_power_w_std,peak_power_w_mean,peak_power_w_std,energy_j_mean,energy_j_std,avg_cpu_util_mean,avg_cpu_util_std,peak_cpu_util_mean,peak_cpu_util_std,avg_gpu_util_mean,avg_gpu_util_std,peak_gpu_util_mean,peak_gpu_util_std,avg_ram_mb_mean,avg_ram_mb_std,peak_ram_mb_mean,peak_ram_mb_std,final_accuracy_ci95_half,final_accuracy_ci95_low,final_accuracy_ci95_high,final_forgetting_ci95_half,final_forgetting_ci95_low,final_forgetting_ci95_high,final_bwt_ci95_half,final_bwt_ci95_low,final_bwt_ci95_high,final_fwt_ci95_half,final_fwt_ci95_low,final_fwt_ci95_high,final_accuracy_drop_from_peak_ci95_half,final_accuracy_drop_from_peak_ci95_low,final_accuracy_drop_from_peak_ci95_high,plasticity_score_ci95_half,plasticity_score_ci95_low,plasticity_score_ci95_high,stability_score_ci95_half,stability_score_ci95_low,stability_score_ci95_high,stability_peak_score_ci95_half,stability_peak_score_ci95_low,stability_peak_score_ci95_high,plasticity_stability_hmean_ci95_half,plasticity_stability_hmean_ci95_low,plasticity_stability_hmean_ci95_high,plasticity_stability_peak_hmean_ci95_half,plasticity_stability_peak_hmean_ci95_low,plasticity_stability_peak_hmean_ci95_high,client_seen_accuracy_mean_ci95_half,client_seen_accuracy_mean_ci95_low,client_seen_accuracy_mean_ci95_high,client_seen_accuracy_std_ci95_half,client_seen_accuracy_std_ci95_low,client_seen_accuracy_std_ci95_high,client_seen_accuracy_min_ci95_half,client_seen_accuracy_min_ci95_low,client_seen_accuracy_min_ci95_high,client_seen_accuracy_max_ci95_half,client_seen_accuracy_max_ci95_low,client_seen_accuracy_max_ci95_high,accuracy_per_comm_mb_ci95_half,accuracy_per_comm_mb_ci95_low,accuracy_per_comm_mb_ci95_high,comm_mb_ci95_half,comm_mb_ci95_low,comm_mb_ci95_high,replay_memory_mb_ci95_half,replay_memory_mb_ci95_low,replay_memory_mb_ci95_high,wall_time_min_ci95_half,wall_time_min_ci95_low,wall_time_min_ci95_high,avg_power_w_ci95_half,avg_power_w_ci95_low,avg_power_w_ci95_high,peak_power_w_ci95_half,peak_power_w_ci95_low,peak_power_w_ci95_high,energy_j_ci95_half,energy_j_ci95_low,energy_j_ci95_high,avg_cpu_util_ci95_half,avg_cpu_util_ci95_low,avg_cpu_util_ci95_high,peak_cpu_util_ci95_half,peak_cpu_util_ci95_low,peak_cpu_util_ci95_high,avg_gpu_util_ci95_half,avg_gpu_util_ci95_low,avg_gpu_util_ci95_high,peak_gpu_util_ci95_half,peak_gpu_util_ci95_low,peak_gpu_util_ci95_high,avg_ram_mb_ci95_half,avg_ram_mb_ci95_low,avg_ram_mb_ci95_high,peak_ram_mb_ci95_half,peak_ram_mb_ci95_low,peak_ram_mb_ci95_high
cifar10,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7,False,0,0.0,6,0.5038666666666666,0.005456983293603441,0.0,0.0,,0.0,,0.0,,0.0,0.5038666666666666,0.005456983293603441,1.0,0.0,,0.0,0.6700803076252426,0.004814683845337177,,0.0,,0.0,,0.0,,0.0,,0.0,0.0514953697725796,0.0005577058200851389,9.784698486328125,0.0,0.0,0.0,11.107424824105367,3.19978447219244,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.004366496037378793,0.49950017062928775,0.5082331627040454,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.004366496037378793,0.49950017062928775,0.5082331627040454,0.0,1.0,1.0,0.0,,,0.003852549440006447,0.6662277581852362,0.6739328570652491,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0004462575973577493,0.051049112175221845,0.05194162736993735,0.0,9.784698486328125,9.784698486328125,0.0,0.0,0.0,2.560360819625741,8.547064004479626,13.667785643731108,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar10,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7,False,20,0.0,6,0.5057166666666667,0.00942410031072817,0.0,0.0,0.0,0.0,-0.38483333333333336,0.01703183294109394,0.0,0.0,0.5057166666666667,0.00942410031072817,1.0,0.0,1.0,0.0,0.6716858978992023,0.008236201788077503,0.6750214119528115,0.011408516853644888,0.8250283707325515,0.028543595076339637,0.07284013525554747,0.006420670480607268,0.6996928463092917,0.038713767952448894,0.9430609664591906,0.021124469839422157,0.051684440493827165,0.0009631467258696041,9.784698486328125,0.0,0.0,0.0,14.17750501036644,0.7641106806958726,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.007540850768388882,0.4981758158982778,0.5132575174350555,0.0,0.0,0.0,0.0,0.0,0.0,0.013628304696068709,-0.39846163802940204,-0.3712050286372647,0.0,0.0,0.0,0.007540850768388882,0.4981758158982778,0.5132575174350555,0.0,1.0,1.0,0.0,1.0,1.0,0.006590333987800183,0.6650955639114021,0.6782762318870025,0.009128714704368244,0.6658926972484432,0.6841501266571798,0.022839632831472455,0.802188737901079,0.847868003564024,0.005137606384785826,0.06770252887076164,0.0779777416403333,0.03097746598464382,0.668715380324648,0.7306703122939355,0.01690309624984308,0.9261578702093475,0.9599640627090337,0.0007706778884321804,0.050913762605394985,0.052455118382259344,0.0,9.784698486328125,9.784698486328125,0.0,0.0,0.0,0.6114158830737667,13.566089127292674,14.788920893440206,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar10,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7,False,0,0.0,6,0.49993333333333334,0.0017895995827745053,0.0020000000000000065,0.0016469669092000633,,0.0,,0.0,,0.0,0.49993333333333334,0.0017895995827745053,0.9980000000000001,0.0016469669092000513,,0.0,0.666161062982951,0.0017560430213375687,,0.0,,0.0,,0.0,,0.0,,0.0,0.011891345951668028,4.256717113028205e-05,42.041778564453125,0.0,0.0,0.0,11.268243636687595,3.3655444243536947,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0014319779017537672,0.4985013554315796,0.5013653112350871,0.0013178479932576973,0.0006821520067423093,0.003317847993257704,0.0,,,0.0,,,0.0,,,0.0014319779017537672,0.4985013554315796,0.5013653112350871,0.0013178479932576877,0.9966821520067424,0.9993178479932578,0.0,,,0.0014051270604264366,0.6647559359225246,0.6675661900433774,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.406083069388789e-05,0.01185728512097414,0.011925406782361916,0.0,42.041778564453125,42.041778564453125,0.0,0.0,0.0,2.6929964051362605,8.575247231551334,13.961240041823856,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar10,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7,False,20,0.0,6,0.5017499999999999,0.002716431482662489,0.000333333333333329,0.000485197554266985,-0.00023333333333332983,0.0006110100926607695,-0.4129583333333333,0.0656377765340458,0.0005333333333333263,0.00040414518843273926,0.5017499999999999,0.002716431482662489,0.9996666666666667,0.0004851975542670107,0.9994666666666667,0.0004041451884327679,0.6681423589314358,0.00241428072391858,0.6677887328289583,0.002063377084244106,0.7655184724949947,0.033310930432064415,0.08612187412928679,0.008111442872207037,0.6002930726824653,0.019502649862829666,0.8916511426464339,0.033118284174875605,0.0119345569367571,6.461266805109113e-05,42.041778564453125,0.0,0.0,0.0,14.189095542828241,0.8556051066188727,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.002173597877559989,0.4995764021224399,0.5039235978775599,0.0003882389012508183,-5.49055679174893e-05,0.0007215722345841472,0.0004889098985384544,-0.0007222432318717843,0.00025557656520512455,0.0525211597173516,-0.4654794930506849,-0.3604371736159817,0.00032338350126264874,0.00020994983207067757,0.000856716834595975,0.002173597877559989,0.4995764021224399,0.5039235978775599,0.0003882389012508389,0.9992784277654159,1.0000549055679175,0.0003233835012626716,0.999143283165404,0.9997900501679294,0.0019318269173496513,0.6662105320140862,0.6700741858487854,0.0016510455277609346,0.6661376873011974,0.6694397783567193,0.0266542955891959,0.7388641769057989,0.7921727680841906,0.006490506064116669,0.07963136806517013,0.09261238019340345,0.015605369993390386,0.584687702689075,0.6158984426758557,0.026500146479079174,0.8651509961673547,0.918151289125513,5.170090209736735e-05,0.011882856034659732,0.011986257838854467,0.0,42.041778564453125,42.041778564453125,0.0,0.0,0.0,0.6846266712950398,13.5044688715332,14.873722214123282,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar10,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7,False,0,0.0,6,0.5000333333333333,5.1639777949433705e-05,0.0,0.0,,0.0,,0.0,,0.0,0.5000333333333333,5.1639777949433705e-05,1.0,0.0,,0.0,0.6666962943211193,4.589896491298018e-05,,0.0,,0.0,,0.0,,0.0,,0.0,0.011893724538003206,1.2282967018212753e-06,42.041778564453125,0.0,0.0,0.0,10.873830632368723,2.924464118927934,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,4.132042809286801e-05,0.4999920129052405,0.5000746537614262,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,4.132042809286801e-05,0.4999920129052405,0.5000746537614262,0.0,1.0,1.0,0.0,,,3.672682096117858e-05,0.6666595675001581,0.6667330211420806,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,9.828420562538363e-07,0.011892741695946951,0.01189470738005946,0.0,42.041778564453125,42.041778564453125,0.0,0.0,0.0,2.340058655067464,8.533771977301258,13.213889287436187,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar10,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7,False,20,0.0,6,0.5117833333333334,0.013115245581637675,0.0,0.0,0.0,0.0,-0.4583333333333333,0.07216878364870322,0.0,0.0,0.5117833333333334,0.013115245581637675,1.0,0.0,1.0,0.0,0.6769766489876426,0.011405362077970129,0.6846599405093311,0.011741162119598523,0.8111720011601765,0.013413714124871025,0.061909281163161876,0.012506347909548274,0.7077355120056742,0.02279586460299522,0.9105151350872345,0.03804545041837182,0.012173208432386654,0.00031195743922990876,42.041778564453125,0.0,0.0,0.0,14.24029675854577,0.8605885859443264,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.010494382111925936,0.5012889512214075,0.5222777154452592,0.0,0.0,0.0,0.0,0.0,0.0,0.057747053796901385,-0.5160803871302347,-0.40058627953643194,0.0,0.0,0.0,0.010494382111925936,0.5012889512214075,0.5222777154452592,0.0,1.0,1.0,0.0,1.0,1.0,0.009126190358087248,0.6678504586295554,0.6861028393457299,0.00939488635223492,0.6752650541570961,0.694054826861566,0.010733206686089155,0.8004387944740874,0.8219052078462656,0.010007162501878004,0.05190211866128387,0.07191644366503988,0.018240490597484234,0.68949502140819,0.7259760026031584,0.030442700582726797,0.8800724345045077,0.9409578356699613,0.00024961793887566557,0.011923590493510989,0.01242282637126232,0.0,42.041778564453125,42.041778564453125,0.0,0.0,0.0,0.6886142852487896,13.55168247329698,14.928911043794558,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar10,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,2,0.7,False,20,0.0,3,0.6693333333333333,0.0806137912105201,0.2035,0.1874119793396356,,0.0,,0.0,,0.0,0.6693333333333333,0.0806137912105201,0.7965,0.18741197933963563,,0.0,0.7258469525186416,0.1252081581540141,,0.0,,0.0,,0.0,,0.0,,0.0,0.0019611494281240216,0.00023619874083379607,341.29644775390625,0.0,0.0,0.0,1.2061135702663,0.04883751666369808,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.09122309234934854,0.5781102409839848,0.7605564256826819,0.21207661917335444,-0.00857661917335445,0.4155766191733544,0.0,,,0.0,,,0.0,,,0.09122309234934854,0.5781102409839848,0.7605564256826819,0.21207661917335446,0.5844233808266455,1.0085766191733545,0.0,,,0.14168636907731624,0.5841605834413254,0.8675333215959579,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0002672840369411799,0.0016938653911828417,0.0022284334650652013,0.0,341.29644775390625,341.29644775390625,0.0,0.0,0.0,0.055264852648984286,1.1508487176173157,1.2613784229152842,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar10,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7,False,0,0.0,6,0.6840333333333333,0.042949024047895044,0.20239583333333333,0.04063922186960113,,0.0,,0.0,,0.0,0.6840333333333333,0.042949024047895044,0.7976041666666666,0.04063922186960116,,0.0,0.7364428869945442,0.04219430139454107,,0.0,,0.0,,0.0,,0.0,,0.0,3.206752782034506e-05,2.01345308247046e-06,21331.02798461914,0.0,0.0,0.0,16.24017082320319,0.6277271742248548,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03436637666350321,0.6496669566698301,0.7183997099968364,0.032518149993930746,0.1698776833394026,0.23491398332726407,0.0,,,0.0,,,0.0,,,0.03436637666350321,0.6496669566698301,0.7183997099968364,0.03251814999393077,0.7650860166727358,0.8301223166605973,0.0,,,0.033762472766811234,0.702680414227733,0.7702053597613554,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.611098006541611e-06,3.0456429813803446e-05,3.367862582688667e-05,0.0,21331.02798461914,21331.02798461914,0.0,0.0,0.0,0.5022863496798166,15.737884473523373,16.742457172883007,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar10,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7,False,20,0.0,6,0.6884833333333334,0.04894709048213866,0.22399999999999998,0.03832011547477382,-0.18193333333333336,0.029578088736991345,-0.381,0.11267881622115135,0.18193333333333336,0.029578088736991345,0.6884833333333334,0.04894709048213866,0.7759999999999999,0.03832011547477379,0.8180666666666667,0.029578088736991325,0.7294672903913209,0.043492528152371306,0.7416878745075448,0.038912163962935876,0.818819450675348,0.02111196030716019,0.07088982278384699,0.005929971821647153,0.6870111976233858,0.017043909454411865,0.9274136096372715,0.028291655274609855,3.227614411409372e-05,2.2946428328457602e-06,21331.02798461914,0.0,0.0,0.0,28.354428483380214,0.6533831121883584,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03916582938452574,0.6493175039488077,0.7276491627178592,0.0306624784005903,0.19333752159940967,0.25466247840059025,0.02366740015764771,-0.20560073349098107,-0.15826593317568566,0.09016183082380261,-0.4711618308238026,-0.2908381691761974,0.02366740015764771,0.15826593317568566,0.20560073349098107,0.03916582938452574,0.6493175039488077,0.7276491627178592,0.03066247840059028,0.7453375215994096,0.8066624784005902,0.02366740015764769,0.794399266509019,0.8417340668243144,0.03480127052166776,0.694666019869653,0.7642685609129887,0.031136215855591495,0.7105516586519534,0.7728240903631363,0.016893086539328597,0.8019263641360194,0.8357125372146766,0.004744965683025207,0.06614485710082178,0.0756347884668722,0.013637967919265652,0.6733732297041202,0.7006491655426514,0.02263803900449472,0.9047755706327768,0.9500516486417662,1.8360966669194973e-06,3.044004744717422e-05,3.411224078101322e-05,0.0,21331.02798461914,21331.02798461914,0.0,0.0,0.0,0.5228153755949573,27.83161310778526,28.87724385897517,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar100,EWC,FEDAVG,current,16,NA,NA,False,False,True,2,0.7,False,20,0.0,3,0.2306666666666667,0.014180385514270538,0.07066666666666667,0.06140304009846201,-0.03233333333333333,0.035882911438919404,-0.10000000000000002,0.0,0.035333333333333335,0.030701520049231004,0.2306666666666667,0.014180385514270538,0.9293333333333335,0.061403040098462,0.9646666666666667,0.030701520049230983,0.36945491492385224,0.021324277641512696,0.37220696322928554,0.019932296888444417,0.305051544843378,0.02173409268204039,0.022209167659191786,0.00600957178486833,0.2828423771841862,0.017913975090039728,0.32726071250256983,0.02638296745954575,0.0006730755827752632,4.13777655086512e-05,342.7054443359375,0.0,0.0,0.0,0.7005239963531494,0.0376673918840081,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.01604661681199846,0.21462004985466823,0.24671328347866514,0.06948408099062052,0.0011825856760461495,0.1401507476572872,0.04060533681399254,-0.07293867014732587,0.008272003480659207,0.0,-0.10000000000000002,-0.10000000000000002,0.03474204049531026,0.0005912928380230748,0.0700753738286436,0.01604661681199846,0.21462004985466823,0.24671328347866514,0.0694840809906205,0.8598492523427129,0.998817414323954,0.03474204049531024,0.9299246261713564,0.9994087071619769,0.02413069177573928,0.34532422314811295,0.39358560669959153,0.022555517269257412,0.3496514459600281,0.39476248049854296,0.02459444115071386,0.28045710369266413,0.32964598599409184,0.006800470659907896,0.015408696999283891,0.02900963831909968,0.020271571147361746,0.2625708060368245,0.3031139483315479,0.029855138194988157,0.2974055743075817,0.35711585069755797,4.682334954757457e-05,0.0006262522332276887,0.0007198989323228378,0.0,342.7054443359375,342.7054443359375,0.0,0.0,0.0,0.042624666534050275,0.6578993298190992,0.7431486628871997,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar100,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,-999999.0,False,0,0.0,3,0.10859999999999999,0.0039153543900903864,0.0,0.0,,0.0,,0.0,,0.0,0.10859999999999999,0.0039153543900903864,1.0,0.0,,0.0,0.19590780654251735,0.0063617540867203165,,0.0,,0.0,,0.0,,0.0,,0.0,0.0005549481169590643,2.0007537256059584e-05,195.6939697265625,0.0,0.0,0.0,16.43376396232181,0.19243119040869353,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.004430640585739277,0.10416935941426071,0.11303064058573926,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.004430640585739277,0.10416935941426071,0.11303064058573926,0.0,1.0,1.0,0.0,,,0.007199002451592907,0.18870880409092444,0.20310680899411027,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,2.2640659760390638e-05,0.0005323074571986737,0.0005775887767194549,0.0,195.6939697265625,195.6939697265625,0.0,0.0,0.0,0.2177563911825611,16.216007571139247,16.65152035350437,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar100,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.1,False,20,0.0,3,0.10436666666666666,0.004800347209664468,0.0,0.0,0.0,0.0,-0.09214814814814813,0.00683250521931864,0.0,0.0,0.10436666666666666,0.004800347209664468,1.0,0.0,1.0,0.0,0.1889845100554224,0.007855662059186865,0.1889845100554224,0.007855662059186865,0.6027859296013376,0.020165925012021114,0.05940926262373713,0.009134820093620296,0.524920338742212,0.02641556441246866,0.7225013594758783,0.03867929050102033,0.0005333157011046134,2.4529867815405093e-05,195.6939697265625,0.0,0.0,0.0,20.100703268580965,0.03595543418388569,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.005432104237258761,0.0989345624294079,0.10979877090392542,0.0,0.0,0.0,0.0,0.0,0.0,0.007731707506121754,-0.09987985565426989,-0.08441644064202637,0.0,0.0,0.0,0.005432104237258761,0.0989345624294079,0.10979877090392542,0.0,1.0,1.0,0.0,1.0,1.0,0.008889518464887163,0.18009499159053524,0.19787402852030958,0.008889518464887163,0.18009499159053524,0.19787402852030958,0.022819892378930468,0.5799660372224071,0.625605821980268,0.010337022046498941,0.04907224057723819,0.06974628467023607,0.029892025119695975,0.49502831362251604,0.554812363861908,0.04376973761434253,0.6787316218615358,0.7662710970902209,2.7758158541363734e-05,0.0005055575425632497,0.0005610738596459772,0.0,195.6939697265625,195.6939697265625,0.0,0.0,0.0,0.0406874040255967,20.060015864555368,20.141390672606562,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
cifar100,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.5,False,0,0.0,6,0.10493333333333334,0.0011910779431534549,0.0,0.0,,0.0,,0.0,,0.0,0.10493333333333334,0.0011910779431534549,1.0,0.0,,0.0,0.18993429046194307,0.0019525092727519391,,0.0,,0.0,,0.0,,0.0,,0.0,0.0005362113788174138,6.086431507407773e-06,195.6939697265625,0.0,0.0,0.0,10.745037664969763,0.024984610685875427,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0009530608468391599,0.10398027248649418,0.1058863941801725,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0009530608468391599,0.10398027248649418,0.1058863941801725,0.0,1.0,1.0,0.0,,,0.0015623328025230064,0.18837195765942005,0.1914966232644661,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,4.870159505532248e-06,0.0005313412193118815,0.0005410815383229461,0.0,195.6939697265625,195.6939697265625,0.0,0.0,0.0,0.019991852216811063,10.72504581275295,10.765029517186575,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
